,list_price_dkk,rooms,home_size_m2,lotsize_m2,expenses_dkk,balcony,floor_as_int,m2_price,zipcode_avg_m2_price,age,Zipcode_1300,Zipcode_1600,Zipcode_1799,Zipcode_1900,Zipcode_2000,Zipcode_2100,Zipcode_2150,Zipcode_2200,Zipcode_2300,Zipcode_2400,Zipcode_2450,Zipcode_2500,Zipcode_2700,Zipcode_2720,Zipcode_2770,Zipcode_2900,Hometype_Andelsbolig,Hometype_Ejerlejlighed,Hometype_Fritidshus,Hometype_Rækkehus,Hometype_Villa,Hometype_Villalejlighed
100,3475000.0,2.0,90,0.0,3476.0,2,2,38611.11111111111,49171.014350839054,61.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,5995000.0,3.0,99,0.0,3203.0,2,4,60555.555555555555,58670.47911762888,116.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,9200000.0,5.0,161,0.0,8239.0,0,3,57142.857142857145,49171.014350839054,131.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,9995000.0,5.0,165,0.0,4696.0,2,0,60575.757575757576,49171.014350839054,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,10995000.0,3.0,117,0.0,4887.0,2,6,93974.35897435897,58670.47911762888,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,11250000.0,6.0,143,0.0,5392.0,0,1,78671.32867132867,49171.014350839054,14.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,4750000.0,3.0,78,0.0,3466.0,0,0,60897.4358974359,58670.47911762888,129.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,17500000.0,6.0,238,663.0,9418.0,0,0,73529.41176470589,49171.014350839054,99.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,2598000.0,2.0,67,0.0,3070.0,2,2,38776.119402985074,49171.014350839054,31.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,5695000.0,3.0,94,0.0,4092.0,0,4,60585.10638297872,49171.014350839054,10.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,2075000.0,2.0,45,0.0,2247.0,0,0,46111.11111111111,49171.014350839054,136.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,5495000.0,4.0,102,0.0,4133.0,0,4,53872.549019607846,58670.47911762888,139.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,2995000.0,2.0,61,0.0,2630.0,2,3,49098.360655737706,49171.014350839054,47.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
113,2675000.0,2.0,51,0.0,2325.0,0,2,52450.98039215686,58670.47911762888,45.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114,4095000.0,3.0,63,0.0,2968.0,2,1,65000.0,58670.47911762888,45.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,5995000.0,6.0,170,0.0,6606.0,0,0,35264.705882352944,49171.014350839054,112.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,1384500.0,3.0,69,0.0,6430.0,0,0,20065.217391304348,49171.014350839054,17.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
